,Area,WC,PN,Price,Floor,HouseType,Location
254,76.0,3.0,3.0,5.4,3.0,5.5437090053763445,5.624838426204724
256,42.0,4.0,3.0,4.9,3.0,5.5437090053763445,5.831480472297911
257,75.0,1.0,1.0,8.8,2.0,5.5437090053763445,6.305351941747572
258,54.0,1.0,1.0,8.7,4.0,7.485200839463087,8.821571428571428
262,58.0,2.0,3.0,4.15,3.0,5.5437090053763445,5.583661764705883
263,52.0,2.0,2.0,9.6,2.0,5.5437090053763445,6.305351941747572
264,40.0,4.0,3.0,5.4,4.0,6.589457364341085,7.197767857142857
265,55.0,6.0,5.0,6.5,3.0,5.5437090053763445,6.305351941747572
266,55.0,6.0,5.0,6.5,4.0,5.5437090053763445,6.305351941747572
267,80.0,3.0,4.0,10.8,3.0,7.485200839463087,4.4488392857142856
268,66.0,3.0,2.0,10.3,2.0,5.5437090053763445,6.913571428571428
270,39.0,2.0,2.0,3.7,2.0,5.5437090053763445,5.624838426204724
